Remark,Title=CSV File
Remark,Date=2026-4-23-13:41:3.93
Remark,Version=Ver3.1
Remark,PLC Name=LSPLC
Remark,CPU Type=XGI-CPUUN
Remark,EIP GUID=e409e8f1-f05b-43de-b79a-1fe0b8b320d2
Remark,EIP OnlineWrite=0
Tag,Flag\System,"_IO_DEERR[7]",%FW111,"WORD",R,"모듈 착탈 에러[베이스 7]"
Tag,Flag\System,"_IO_ER_PMT",%FX15233,"BOOL",R,"IO 모듈 에러시 운전 속행 설정"
Tag,Flag\System,"_IO_TYER",%FX33,"BOOL",R,"모듈 타입 불일치 에러"
Tag,Flag\System,"_IO_TYER_N",%FW90,"WORD",R,"모듈 타입 불일치 슬롯 넘버"
Tag,Flag\System,"_IO_TYERR[0]",%FW96,"WORD",R,"모듈 타입 불일치 에러[베이스 0]"
Tag,Flag\System,"_IO_TYERR[1]",%FW97,"WORD",R,"모듈 타입 불일치 에러[베이스 1]"
Tag,Flag\System,"_IO_TYERR[2]",%FW98,"WORD",R,"모듈 타입 불일치 에러[베이스 2]"
Tag,Flag\System,"_IO_TYERR[3]",%FW99,"WORD",R,"모듈 타입 불일치 에러[베이스 3]"
Tag,Flag\System,"_IO_TYERR[4]",%FW100,"WORD",R,"모듈 타입 불일치 에러[베이스 4]"
Tag,Flag\System,"_IO_TYERR[5]",%FW101,"WORD",R,"모듈 타입 불일치 에러[베이스 5]"
Tag,Flag\System,"_IO_TYERR[6]",%FW102,"WORD",R,"모듈 타입 불일치 에러[베이스 6]"
Tag,Flag\System,"_IO_TYERR[7]",%FW103,"WORD",R,"모듈 타입 불일치 에러[베이스 7]"
Tag,Flag\System,"_IOPRM_ER",%FX41,"BOOL",R,"IO 구성 파라미터 이상"
Tag,Flag\System,"_KEY",%FD43,"DWORD",R,"현재 로컬 KEY 상태"
Tag,Flag\System,"_LER",%FX181,"BOOL",,"연산 에러 플래그(래치)"
Tag,Flag\System,"_LOCAL_CON",%FX4,"BOOL",R,"로컬 컨트롤"
Tag,Flag\System,"_MON_ON",%FX20,"BOOL",R,"모니터 실행 중"
Tag,Flag\System,"_OFF",%FX154,"BOOL",R,"상시 OFF"
Tag,Flag\System,"_ON",%FX153,"BOOL",R,"상시 ON"
Tag,Flag\System,"_OS_DATE",%FD24,"DWORD",R,"OS 날짜"
Tag,Flag\System,"_OS_VER",%FD23,"DWORD",R,"OS 버전 번호"
Tag,Flag\System,"_OS_VER_PATCH",%FD89,"DWORD",R,"OS 패치 버전"
Tag,Flag\System,"_P2P_WAR",%FX84,"BOOL",R,"P2P 파라미터 이상 - 대표 플래그"
Tag,Flag\System,"_P2P_WAR_W",%FW59,"WORD",R,"P2P 파라미터 이상 - 전체 정보"
Tag,Flag\System,"_P2P_WARN[0]",%FX944,"BOOL",R,"P2P 파라미터 이상 - 상세 플래그[1]"
Tag,Flag\System,"_P2P_WARN[1]",%FX945,"BOOL",R,"P2P 파라미터 이상 - 상세 플래그[2]"
Tag,Flag\System,"_P2P_WARN[2]",%FX946,"BOOL",R,"P2P 파라미터 이상 - 상세 플래그[3]"
Tag,Flag\System,"_P2P_WARN[3]",%FX947,"BOOL",R,"P2P 파라미터 이상 - 상세 플래그[4]"
Tag,Flag\System,"_P2P_WARN[4]",%FX948,"BOOL",R,"P2P 파라미터 이상 - 상세 플래그[5]"
Tag,Flag\System,"_P2P_WARN[5]",%FX949,"BOOL",R,"P2P 파라미터 이상 - 상세 플래그[6]"
Tag,Flag\System,"_P2P_WARN[6]",%FX950,"BOOL",R,"P2P 파라미터 이상 - 상세 플래그[7]"
Tag,Flag\System,"_P2P_WARN[7]",%FX951,"BOOL",R,"P2P 파라미터 이상 - 상세 플래그[8]"
Tag,Flag\System,"_PB1",%FX28,"BOOL",R,"프로그램 코드1"
Tag,Flag\System,"_PB2",%FX29,"BOOL",R,"프로그램 코드2"
Tag,Flag\System,"_PGM_ER",%FX44,"BOOL",R,"프로그램 에러"
Tag,Flag\System,"_RBANK_NUM",%FW158,"UINT",R,"현재 사용중인 블록 번호"
Tag,Flag\System,"_REMOTE_CON",%FX6,"BOOL",R,"리모트 모드 ON"
Tag,Flag\System,"_RTC_DATE",%FW136,"DATE",R,"RTC의 현재 날짜"
Tag,Flag\System,"_RTC_ER",%FX64,"BOOL",R,"RTC 데이터 이상"
Tag,Flag\System,"_RTC_TIME[0]",%FB106,"BYTE",R,"현재시각[년도]"
Tag,Flag\System,"_RTC_TIME[1]",%FB107,"BYTE",R,"현재시각[월]"
Tag,Flag\System,"_RTC_TIME[2]",%FB108,"BYTE",R,"현재시각[일]"
Tag,Flag\System,"_RTC_TIME[3]",%FB109,"BYTE",R,"현재시각[시]"
Tag,Flag\System,"_RTC_TIME[4]",%FB110,"BYTE",R,"현재시각[분]"
Tag,Flag\System,"_RTC_TIME[5]",%FB111,"BYTE",R,"현재시각[초]"
Tag,Flag\System,"_RTC_TIME[6]",%FB112,"BYTE",R,"현재시각[요일]"
Tag,Flag\System,"_RTC_TIME[7]",%FB113,"BYTE",R,"현재시각[년대]"
Tag,Flag\System,"_RTC_TIME_USER[0]",%FB2068,"BYTE",,"설정하고자 하는 시간[년도]"
Tag,Flag\System,"_RTC_TIME_USER[1]",%FB2069,"BYTE",,"설정하고자 하는 시간[월]"
Tag,Flag\System,"_RTC_TIME_USER[2]",%FB2070,"BYTE",,"설정하고자 하는 시간[일]"
Tag,Flag\System,"_RTC_TIME_USER[3]",%FB2071,"BYTE",,"설정하고자 하는 시간[시]"
Tag,Flag\System,"_RTC_TIME_USER[4]",%FB2072,"BYTE",,"설정하고자 하는 시간[분]"
Tag,Flag\System,"_RTC_TIME_USER[5]",%FB2073,"BYTE",,"설정하고자 하는 시간[초]"
Tag,Flag\System,"_RTC_TIME_USER[6]",%FB2074,"BYTE",,"설정하고자 하는 시간[요일]"
Tag,Flag\System,"_RTC_TIME_USER[7]",%FB2075,"BYTE",,"설정하고자 하는 시간[년대]"
Tag,Flag\System,"_RTC_TOD",%FD69,"TIME_OF_DAY",R,"RTC의 현재 시간(ms단위)"
Tag,Flag\System,"_RTC_WEEK",%FW137,"UINT",R,"RTC의 현재 요일"
Tag,Flag\System,"_RTC_WR",%FX16384,"BOOL",,"RTC에 데이터 쓰기"
Tag,Flag\System,"_RUN",%FX0,"BOOL",R,"RUN"
Tag,Flag\System,"_RUN_EDIT_CHK",%FX9,"BOOL",R,"런중 수정 중(내부 처리 중)"
Tag,Flag\System,"_RUN_EDIT_DONE",%FX10,"BOOL",R,"런중 수정 완료"
Tag,Flag\System,"_RUN_EDIT_NG",%FX11,"BOOL",R,"런중 수정 비정상 완료"
Tag,Flag\System,"_RUN_EDIT_ST",%FX8,"BOOL",R,"런중 수정 중(프로그램 다운로드 중)"
Tag,Flag\System,"_SCAN_CUR",%FW52,"UINT",,"현재 스캔 시간"
Tag,Flag\System,"_SCAN_MAX",%FW50,"UINT",,"최대 스캔 시간"
Tag,Flag\System,"_SCAN_MIN",%FW51,"UINT",,"최소 스캔 시간"
Tag,Flag\System,"_SCAN_WR",%FX16385,"BOOL",,"스캔 값 초기화"
Tag,Flag\System,"_SKIP_ON",%FX18,"BOOL",R,"입출력 SKIP 실행 중"
Tag,Flag\System,"_SLOT_EMASK_INFO[0]",%FW958,"WORD",R,"슬롯 고장마스크 정보"
Tag,Flag\System,"_SLOT_EMASK_INFO[1]",%FW959,"WORD",R,"슬롯 고장마스크 정보"
Tag,Flag\System,"_SLOT_EMASK_INFO[2]",%FW960,"WORD",R,"슬롯 고장마스크 정보"
Tag,Flag\System,"_SLOT_EMASK_INFO[3]",%FW961,"WORD",R,"슬롯 고장마스크 정보"
Tag,Flag\System,"_SLOT_EMASK_INFO[4]",%FW962,"WORD",R,"슬롯 고장마스크 정보"
Tag,Flag\System,"_SLOT_EMASK_INFO[5]",%FW963,"WORD",R,"슬롯 고장마스크 정보"
Tag,Flag\System,"_SLOT_EMASK_INFO[6]",%FW964,"WORD",R,"슬롯 고장마스크 정보"
Tag,Flag\System,"_SLOT_EMASK_INFO[7]",%FW965,"WORD",R,"슬롯 고장마스크 정보"
Tag,Flag\System,"_SLOT_SKIP_INFO[0]",%FW966,"WORD",R,"슬롯 스킵 정보"
Tag,Flag\System,"_SLOT_SKIP_INFO[1]",%FW967,"WORD",R,"슬롯 스킵 정보"
Tag,Flag\System,"_SLOT_SKIP_INFO[2]",%FW968,"WORD",R,"슬롯 스킵 정보"
Tag,Flag\System,"_SLOT_SKIP_INFO[3]",%FW969,"WORD",R,"슬롯 스킵 정보"
Tag,Flag\System,"_SLOT_SKIP_INFO[4]",%FW970,"WORD",R,"슬롯 스킵 정보"
Tag,Flag\System,"_SLOT_SKIP_INFO[5]",%FW971,"WORD",R,"슬롯 스킵 정보"
Tag,Flag\System,"_SLOT_SKIP_INFO[6]",%FW972,"WORD",R,"슬롯 스킵 정보"
Tag,Flag\System,"_SLOT_SKIP_INFO[7]",%FW973,"WORD",R,"슬롯 스킵 정보"
Tag,Flag\System,"_SOCKET_CLOSE_COUNTER[0]",%FW996,"WORD",R,"소켓별 CLOSE 회수"
Tag,Flag\System,"_SOCKET_CLOSE_COUNTER[1]",%FW997,"WORD",R,"소켓별 CLOSE 회수"
Tag,Flag\System,"_SOCKET_CLOSE_COUNTER[2]",%FW998,"WORD",R,"소켓별 CLOSE 회수"
Tag,Flag\System,"_SOCKET_CLOSE_COUNTER[3]",%FW999,"WORD",R,"소켓별 CLOSE 회수"
Tag,Flag\System,"_SOE_LOG_CNT",%FW1786,"WORD",R,"SOE event 발생 개수"
Tag,Flag\System,"_SOE_LOG_ROTATE",%FW1787,"WORD",R,"SOE event 로테이트 정보"
Tag,Flag\System,"_SOE_READ_LOG_CNT",%FW1784,"WORD",R,"사용자가 읽어간 SOE event 개수"
Tag,Flag\System,"_SOE_READ_LOG_ROTATE",%FW1785,"WORD",R,"사용자가 읽어간 SOE event 로테이트 정보"
Tag,Flag\System,"_SP_ER_PMT",%FX15234,"BOOL",R,"특수 모듈 에러시 운전 속행 설정"
Tag,Flag\System,"_SPPRM_ER",%FX42,"BOOL",R,"특수 모듈 파라미터 이상"
Tag,Flag\System,"_STOG",%FX157,"BOOL",R,"매 스캔 반전"
Tag,Flag\System,"_STOP",%FX1,"BOOL",R,"STOP"
Tag,Flag\System,"_SWDT_ER",%FX46,"BOOL",R,"CPU 비정상 종료 또는 고장"
Tag,Flag\System,"_SYS_STATE",%FD0,"DWORD",R,"PLC 모드와 운전 상태"
Tag,Flag\System,"_T100MS",%FX145,"BOOL",R,"100ms 주기 CLOCK"
Tag,Flag\System,"_T10S",%FX149,"BOOL",R,"10s 주기 CLOCK"
Tag,Flag\System,"_T1S",%FX147,"BOOL",R,"1s 주기 CLOCK"
Tag,Flag\System,"_T200MS",%FX146,"BOOL",R,"200ms 주기 CLOCK"
Tag,Flag\System,"_T20MS",%FX144,"BOOL",R,"20ms 주기 CLOCK"
Tag,Flag\System,"_T20S",%FX150,"BOOL",R,"20s 주기 CLOCK"
Tag,Flag\System,"_T2S",%FX148,"BOOL",R,"2s 주기 CLOCK"
Tag,Flag\System,"_T60S",%FX151,"BOOL",R,"60s 주기 CLOCK"
Tag,Flag\System,"_TASK_ER",%FX68,"BOOL",R,"태스크 충돌"
Tag,Flag\System,"_USTOP_ON",%FX21,"BOOL",R,"STOP 펑션에 의한 STOP"
Tag,Flag\System,"_WDT_ER",%FX48,"BOOL",R,"스캔 워치독 에러"
Tag,Flag\System,"_HS_ENABLE_STATE[0]",%FX15840,"BOOL",R,"고속링크 enable/disable 현재상태[1]"
Tag,Flag\System,"_HS_ENABLE_STATE[1]",%FX15841,"BOOL",R,"고속링크 enable/disable 현재상태[2]"
Tag,Flag\System,"_HS_ENABLE_STATE[2]",%FX15842,"BOOL",R,"고속링크 enable/disable 현재상태[3]"
